"NUM_CLIENTE","MES_MG","VALOR_MG_CONTRIBUICAO"
187,"Outubro",65.71
187,"Novembro",72.1
187,"Dezembro",27.9
1632,"Janeiro",95.19
1632,"Fevereiro",54.33
1632,"Março",0.9
1632,"Abril",8.91
1632,"Maio",87.58
1632,"Junho",75.25
1632,"Julho",79.17
1632,"Agosto",89.06
1632,"Setembro",18.69
1632,"Outubro",90.98
1632,"Novembro",12.71
1632,"Dezembro",94.59
6715,"Janeiro",63.19
6715,"Fevereiro",91.67
6715,"Março",20.94
6715,"Abril",16.93
6715,"Maio",19.03
6715,"Junho",61.7
6715,"Julho",44.28
6715,"Agosto",71.25
6715,"Setembro",27.01
6715,"Outubro",62.11
6715,"Novembro",96.25
6715,"Dezembro",41.86
4304,"Janeiro",72.8
4304,"Fevereiro",55.82
4304,"Março",74.69
4304,"Abril",54.58
4304,"Maio",85.04
4304,"Junho",70.41
4304,"Julho",36.66
4304,"Agosto",86.17
4304,"Setembro",51.35
4304,"Outubro",45.91
4304,"Novembro",13.97
4304,"Dezembro",61.35
1330,"Janeiro",45.21
1330,"Fevereiro",58.51
1330,"Março",91.81
1330,"Abril",57.33
1330,"Maio",28.54
1330,"Junho",72.39
1330,"Julho",82.69
1330,"Agosto",80.04
1330,"Setembro",76.39
1330,"Outubro",35.19
1330,"Novembro",15.38
1330,"Dezembro",15.28
590,"Janeiro",30.91
590,"Fevereiro",91.54
590,"Março",46.22
590,"Abril",20.59
590,"Maio",56.69
590,"Junho",88.43
590,"Julho",22.25
590,"Agosto",71.49
590,"Setembro",20.32
590,"Outubro",53.29
590,"Novembro",48.04
590,"Dezembro",34.6
8656,"Janeiro",61.21
8656,"Fevereiro",59.54
8656,"Março",30.36
8656,"Abril",92.65
8656,"Maio",69.46
8656,"Junho",0.62
8656,"Julho",23.1
8656,"Agosto",0.69
8656,"Setembro",58.22
8656,"Outubro",80.01
8656,"Novembro",7.06
8656,"Dezembro",87.9
4421,"Janeiro",65.48
4421,"Fevereiro",59.79
4421,"Março",39.88
4421,"Abril",51.66
4421,"Maio",32.69
4421,"Junho",6.74
4421,"Julho",22.73
4421,"Agosto",48.68
4421,"Setembro",57.22
4421,"Outubro",70.77
4421,"Novembro",15.97
4421,"Dezembro",50.51
8611,"Janeiro",69.87
8611,"Fevereiro",41.52
8611,"Março",46.72
8611,"Abril",61.94
8611,"Maio",56.46
8611,"Junho",19.93
8611,"Julho",11.79
8611,"Agosto",97.9
8611,"Setembro",46.62
8611,"Outubro",30.65
8611,"Novembro",94.86
8611,"Dezembro",66.03
3901,"Janeiro",94.56
3901,"Fevereiro",68.85
3901,"Março",94.08
3901,"Abril",74.85
3901,"Maio",42.36
3901,"Junho",55.45
3901,"Julho",55.82
3901,"Agosto",12.62
3901,"Setembro",14.42
3901,"Outubro",8.09
3901,"Novembro",2.51
3901,"Dezembro",98.14
3202,"Janeiro",93.21
3202,"Fevereiro",15.45
3202,"Março",40.84
3202,"Abril",29.78
3202,"Maio",39.88
3202,"Junho",42.43
3202,"Julho",62.65
3202,"Agosto",10.99
3202,"Setembro",34
3202,"Outubro",17.59
3202,"Novembro",62.82
3202,"Dezembro",9.43
3652,"Janeiro",84.55
3652,"Fevereiro",13.5
3652,"Março",36.54
3652,"Abril",43.01
3652,"Maio",97
3652,"Junho",3.04
3652,"Julho",60.13
3652,"Agosto",74.85
3652,"Setembro",0.05
3652,"Outubro",20.16
3652,"Novembro",78.15
3652,"Dezembro",84.74
4021,"Janeiro",80.79
4021,"Fevereiro",79.43
4021,"Março",47.99
4021,"Abril",89.44
4021,"Maio",45.09
4021,"Junho",43.4
4021,"Julho",3.36
4021,"Agosto",3
4021,"Setembro",35.8
4021,"Outubro",35.43
4021,"Novembro",64.84
4021,"Dezembro",87.88
2617,"Janeiro",64.09
2617,"Fevereiro",66.18
2617,"Março",66.99
2617,"Abril",34.88
2617,"Maio",81.84
2617,"Junho",78.63
2617,"Julho",49.02
2617,"Agosto",9.14
2617,"Setembro",91.69
2617,"Outubro",13.26
2617,"Novembro",74.6
2617,"Dezembro",14.15
9427,"Janeiro",24.1
9427,"Fevereiro",35.14
9427,"Março",14.7
9427,"Abril",77.14
9427,"Maio",46.65
9427,"Junho",85.54
9427,"Julho",62.96
9427,"Agosto",89.31
9427,"Setembro",34.86
9427,"Outubro",84.16
9427,"Novembro",25.53
9427,"Dezembro",43.55
6028,"Janeiro",17.5
6028,"Fevereiro",11.81
6028,"Março",96.6
6028,"Abril",68.74
6028,"Maio",96.65
6028,"Junho",94.96
6028,"Julho",47.43
6028,"Agosto",6.07
6028,"Setembro",90.03
6028,"Outubro",1.96
6028,"Novembro",13.28
6028,"Dezembro",4.24
2331,"Janeiro",98.53
2331,"Fevereiro",14.36
2331,"Março",57.66
2331,"Abril",9.96
2331,"Maio",9.85
2331,"Junho",33.33
2331,"Julho",82.01
2331,"Agosto",38.93
2331,"Setembro",24.63
2331,"Outubro",83.04
2331,"Novembro",3.64
2331,"Dezembro",68.1
8319,"Janeiro",54.38
8319,"Fevereiro",75.78
8319,"Março",27.8
8319,"Abril",92.13
8319,"Maio",74.93
8319,"Junho",9.62
8319,"Julho",52.23
8319,"Agosto",4.85
8319,"Setembro",92
8319,"Outubro",26.59
8319,"Novembro",12.19
8319,"Dezembro",90.01
4223,"Janeiro",39.75
4223,"Fevereiro",35.55
4223,"Março",40.85
4223,"Abril",96.19
4223,"Maio",97.94
4223,"Junho",70.76
4223,"Julho",26.51
4223,"Agosto",14.05
4223,"Setembro",55.86
4223,"Outubro",78.37
4223,"Novembro",38.69
4223,"Dezembro",32.92
3339,"Janeiro",55.47
3339,"Fevereiro",28.27
3339,"Março",10.23
3339,"Abril",99.82
3339,"Maio",90.27
3339,"Junho",69.9
3339,"Julho",12.64
3339,"Agosto",96.55
3339,"Setembro",46.92
3339,"Outubro",93.11
3339,"Novembro",1.27
3339,"Dezembro",85.81
7966,"Janeiro",72.66
7966,"Fevereiro",18.06
7966,"Março",45.73
7966,"Abril",18.69
7966,"Maio",8.63
7966,"Junho",14.3
7966,"Julho",50.42
7966,"Agosto",56.09
7966,"Setembro",6.88
7966,"Outubro",27.51
7966,"Novembro",12.93
7966,"Dezembro",74.16
8531,"Janeiro",58.88
8531,"Fevereiro",87.01
8531,"Março",3.09
8531,"Abril",8.37
8531,"Maio",0.19
8531,"Junho",71.84
8531,"Julho",86.77
8531,"Agosto",59.64
8531,"Setembro",29.2
8531,"Outubro",61.77
8531,"Novembro",88.24
8531,"Dezembro",19.93
876,"Janeiro",57.65
876,"Fevereiro",18.8
876,"Março",50.05
876,"Abril",11.05
876,"Maio",19.52
876,"Junho",39.22
876,"Julho",77.71
876,"Agosto",29.74
876,"Setembro",84.57
876,"Outubro",56.4
876,"Novembro",42.62
876,"Dezembro",93.88
1253,"Janeiro",67.42
1253,"Fevereiro",55.95
1253,"Março",4.87
1253,"Abril",52.35
1253,"Maio",87.42
1253,"Junho",93.75
1253,"Julho",29.85
1253,"Agosto",31.63
1253,"Setembro",60.38
1253,"Outubro",76.66
1253,"Novembro",77.47
1253,"Dezembro",33.39
9122,"Janeiro",57.74
9122,"Fevereiro",63.52
9122,"Março",4.27
9122,"Abril",37.96
9122,"Maio",46.35
9122,"Junho",78.35
9122,"Julho",83.42
9122,"Agosto",18.85
9122,"Setembro",17.01
9122,"Outubro",85.36
9122,"Novembro",25.23
9122,"Dezembro",54.79
7741,"Janeiro",44.83
7741,"Fevereiro",65.85
7741,"Março",32.87
7741,"Abril",66.95
7741,"Maio",23.27
7741,"Junho",82.33
7741,"Julho",97.59
7741,"Agosto",44.99
7741,"Setembro",86.77
7741,"Outubro",86.65
7741,"Novembro",39.1
7741,"Dezembro",43.42
8625,"Janeiro",35.62
8625,"Fevereiro",61.01
8625,"Março",88.11
8625,"Abril",22.87
8625,"Maio",20.74
8625,"Junho",13.87
8625,"Julho",83.56
8625,"Agosto",82.68
8625,"Setembro",71.25
8625,"Outubro",81.63
8625,"Novembro",10.06
8625,"Dezembro",86.09
2882,"Janeiro",87.3
2882,"Fevereiro",7.44
2882,"Março",92.33
2882,"Abril",88.52
2882,"Maio",94.76
2882,"Junho",68.36
2882,"Julho",88.16
2882,"Agosto",77.19
2882,"Setembro",76.08
2882,"Outubro",62.37
2882,"Novembro",83.56
2882,"Dezembro",74.95
3858,"Janeiro",13.05
3858,"Fevereiro",56.56
3858,"Março",75.73
3858,"Abril",50.61
3858,"Maio",94.1
3858,"Junho",24.96
3858,"Julho",2.68
3858,"Agosto",94.49
3858,"Setembro",56.25
3858,"Outubro",20.96
3858,"Novembro",86.3
3858,"Dezembro",79.05
7555,"Janeiro",74.34
7555,"Fevereiro",86.2
7555,"Março",29.63
7555,"Abril",29.68
7555,"Maio",88.75
7555,"Junho",59.16
7555,"Julho",28.15
7555,"Agosto",55.25
7555,"Setembro",66.58
7555,"Outubro",76.95
7555,"Novembro",9.63
7555,"Dezembro",69.41
4232,"Janeiro",32.38
4232,"Fevereiro",41.54
4232,"Março",74.76
4232,"Abril",36.32
4232,"Maio",18.64
4232,"Junho",37.88
4232,"Julho",92.05
4232,"Agosto",80.57
4232,"Setembro",82.82
4232,"Outubro",45.45
4232,"Novembro",61.26
4232,"Dezembro",49.21
9931,"Janeiro",46.81
9931,"Fevereiro",74.18
9931,"Março",18.12
9931,"Abril",26.79
9931,"Maio",30.56
9931,"Junho",22.69
9931,"Julho",84.87
9931,"Agosto",11.92
9931,"Setembro",59.84
9931,"Outubro",84.17
9931,"Novembro",74.34
9931,"Dezembro",75.09
4600,"Janeiro",47.78
4600,"Fevereiro",69.46
4600,"Março",35.64
4600,"Abril",80.56
4600,"Maio",92.57
4600,"Junho",4.37
4600,"Julho",86.05
4600,"Agosto",86.24
4600,"Setembro",35.7
4600,"Outubro",8.09
4600,"Novembro",59.99
4600,"Dezembro",41.76
6945,"Janeiro",59.2
6945,"Fevereiro",50.26
6945,"Março",83.92
6945,"Abril",7.06
6945,"Maio",75.91
6945,"Junho",1.81
6945,"Julho",59.54
6945,"Agosto",43.24
6945,"Setembro",99.08
6945,"Outubro",78.66
6945,"Novembro",82.18
6945,"Dezembro",34.93
6053,"Janeiro",38.32
6053,"Fevereiro",36.34
6053,"Março",36.89
6053,"Abril",65.57
6053,"Maio",12.26
6053,"Junho",94.14
6053,"Julho",81.58
6053,"Agosto",77.28
6053,"Setembro",55.57
6053,"Outubro",85.16
6053,"Novembro",1.27
6053,"Dezembro",15.7
7850,"Janeiro",35.69
7850,"Fevereiro",39.32
7850,"Março",34.61
7850,"Abril",98.64
7850,"Maio",54.52
7850,"Junho",17.58
7850,"Julho",31.31
7850,"Agosto",29.74
7850,"Setembro",51.67
7850,"Outubro",57.08
7850,"Novembro",45.6
7850,"Dezembro",14.97
3252,"Janeiro",74.07
3252,"Fevereiro",18.85
3252,"Março",15.42
3252,"Abril",88.98
3252,"Maio",1.7
3252,"Junho",1.77
3252,"Julho",30.64
3252,"Agosto",68.08
3252,"Setembro",23.2
3252,"Outubro",86.28
3252,"Novembro",27.96
3252,"Dezembro",26.37
489,"Janeiro",48.49
489,"Fevereiro",72.49
489,"Março",70.62
489,"Abril",30.41
489,"Maio",7.67
489,"Junho",49.44
489,"Julho",71.71
489,"Agosto",71.62
489,"Setembro",31.92
489,"Outubro",56.65
489,"Novembro",33.19
489,"Dezembro",82.83
6491,"Janeiro",9.07
6491,"Fevereiro",69.08
6491,"Março",89.45
6491,"Abril",64.71
6491,"Maio",4.78
6491,"Junho",99.01
6491,"Julho",54.62
6491,"Agosto",33.86
6491,"Setembro",11.54
6491,"Outubro",21.5
6491,"Novembro",92.35
6491,"Dezembro",12.94
432,"Janeiro",0.16
432,"Fevereiro",79.37
432,"Março",98.86
432,"Abril",58.07
432,"Maio",71.78
432,"Junho",90.21
432,"Julho",12.88
432,"Agosto",8.9
432,"Setembro",58.08
432,"Outubro",80.68
432,"Novembro",24.9
432,"Dezembro",76.39
6272,"Janeiro",46.04
6272,"Fevereiro",10.53
6272,"Março",27.1
6272,"Abril",25.86
6272,"Maio",24.55
6272,"Junho",60.77
6272,"Julho",25.41
6272,"Agosto",97.24
6272,"Setembro",69.15
6272,"Outubro",46.62
6272,"Novembro",23.59
6272,"Dezembro",4.96
9979,"Janeiro",53.74
9979,"Fevereiro",83.06
9979,"Março",44.46
9979,"Abril",8.38
9979,"Maio",79.07
9979,"Junho",79.05
9979,"Julho",68.36
9979,"Agosto",40.99
9979,"Setembro",44.79
9979,"Outubro",10.41
9979,"Novembro",8.14
9979,"Dezembro",36.98
3547,"Janeiro",64.78
3547,"Fevereiro",57.19
3547,"Março",44.98
3547,"Abril",44.22
3547,"Maio",81.6
3547,"Junho",93.64
3547,"Julho",33.36
3547,"Agosto",11.3
3547,"Setembro",59.33
3547,"Outubro",86.34
3547,"Novembro",71.09
3547,"Dezembro",72.45
5339,"Janeiro",91.97
5339,"Fevereiro",66.07
5339,"Março",6.88
5339,"Abril",20.42
5339,"Maio",16.26
5339,"Junho",83.93
5339,"Julho",47.63
5339,"Agosto",69.08
5339,"Setembro",30.1
5339,"Outubro",66.31
5339,"Novembro",15.02
5339,"Dezembro",80.06
2386,"Janeiro",71.51
2386,"Fevereiro",2.22
2386,"Março",19.78
2386,"Abril",61.61
2386,"Maio",44.31
2386,"Junho",40.27
2386,"Julho",76.17
2386,"Agosto",8.44
2386,"Setembro",41.83
2386,"Outubro",39.16
2386,"Novembro",82.32
2386,"Dezembro",24.4
1780,"Janeiro",14.21
1780,"Fevereiro",24.86
1780,"Março",81.86
1780,"Abril",33.66
1780,"Maio",83.18
1780,"Junho",64.74
1780,"Julho",76.98
1780,"Agosto",92.37
1780,"Setembro",67.26
1780,"Outubro",48.18
1780,"Novembro",16.42
1780,"Dezembro",17.68
5466,"Janeiro",40.69
5466,"Fevereiro",28.83
5466,"Março",76.55
5466,"Abril",5.4
5466,"Maio",14.76
5466,"Junho",51.65
5466,"Julho",26.68
5466,"Agosto",62.82
5466,"Setembro",37.14
5466,"Outubro",18.4
5466,"Novembro",71.87
5466,"Dezembro",30.86
864,"Janeiro",93
864,"Fevereiro",87.98
864,"Março",58.15
864,"Abril",25.96
864,"Maio",82.04
864,"Junho",0.95
864,"Julho",70.36
864,"Agosto",58.57
864,"Setembro",50.29
864,"Outubro",78.31
864,"Novembro",76.24
864,"Dezembro",95.7
3217,"Janeiro",39.87
3217,"Fevereiro",63.34
3217,"Março",38.45
3217,"Abril",6.27
3217,"Maio",45.31
3217,"Junho",94.17
3217,"Julho",91.53
3217,"Agosto",72.81
3217,"Setembro",98.15
3217,"Outubro",63.65
3217,"Novembro",28.57
3217,"Dezembro",86.64
8693,"Janeiro",2.52
8693,"Fevereiro",77.97
8693,"Março",18.57
8693,"Abril",64.61
8693,"Maio",82.44
8693,"Junho",99.31
8693,"Julho",75.78
8693,"Agosto",18.77
8693,"Setembro",89.25
8693,"Outubro",20.16
8693,"Novembro",89.82
8693,"Dezembro",2.74
8045,"Janeiro",18.3
8045,"Fevereiro",81.63
8045,"Março",46.48
8045,"Abril",21.68
8045,"Maio",69.73
8045,"Junho",44.99
8045,"Julho",47.75
8045,"Agosto",78.5
8045,"Setembro",15.49
8045,"Outubro",40.24
8045,"Novembro",54.08
8045,"Dezembro",11.02
6570,"Janeiro",46.55
6570,"Fevereiro",83.17
6570,"Março",38.95
6570,"Abril",8
6570,"Maio",48.32
6570,"Junho",48.72
6570,"Julho",28.65
6570,"Agosto",1.78
6570,"Setembro",10.36
6570,"Outubro",96.7
6570,"Novembro",82.38
6570,"Dezembro",58.11
6823,"Janeiro",45.55
6823,"Fevereiro",12.84
6823,"Março",32.48
6823,"Abril",42.09
6823,"Maio",31.15
6823,"Junho",50.95
6823,"Julho",18.69
6823,"Agosto",91.31
6823,"Setembro",28.38
6823,"Outubro",90.95
6823,"Novembro",73.83
6823,"Dezembro",31.83
7369,"Janeiro",60.72
7369,"Fevereiro",23.74
7369,"Março",76.19
7369,"Abril",58.11
7369,"Maio",68.06
7369,"Junho",32.22
7369,"Julho",64.59
7369,"Agosto",36.86
7369,"Setembro",55.86
7369,"Outubro",88.37
7369,"Novembro",95.47
7369,"Dezembro",45.99
984,"Janeiro",47.83
984,"Fevereiro",12.31
984,"Março",24.98
984,"Abril",25.83
984,"Maio",11.43
984,"Junho",14.59
984,"Julho",3.28
984,"Agosto",12.44
984,"Setembro",97.65
984,"Outubro",67.63
984,"Novembro",75.01
984,"Dezembro",71.7
1822,"Janeiro",88.26
1822,"Fevereiro",37.74
1822,"Março",88.19
1822,"Abril",20.28
1822,"Maio",94.09
1822,"Junho",82.26
1822,"Julho",13.56
1822,"Agosto",86.5
1822,"Setembro",84.92
1822,"Outubro",37.98
1822,"Novembro",7.8
1822,"Dezembro",12.87
3328,"Janeiro",1.24
3328,"Fevereiro",27.12
3328,"Março",41.68
3328,"Abril",18.3
3328,"Maio",9.38
3328,"Junho",30.1
3328,"Julho",33.93
3328,"Agosto",97.26
3328,"Setembro",5.99
3328,"Outubro",2.56
3328,"Novembro",31.61
3328,"Dezembro",90.83
102,"Janeiro",26.81
102,"Fevereiro",48.16
102,"Março",24.83
102,"Abril",19.41
102,"Maio",56.88
102,"Junho",96.13
102,"Julho",19.66
102,"Agosto",43.31
102,"Setembro",38.77
102,"Outubro",23.39
102,"Novembro",68.55
102,"Dezembro",9.44
8042,"Janeiro",3.19
8042,"Fevereiro",45
8042,"Março",73.9
8042,"Abril",28.51
8042,"Maio",5.22
8042,"Junho",78.86
8042,"Julho",90.48
8042,"Agosto",44.33
8042,"Setembro",69.42
8042,"Outubro",39.99
8042,"Novembro",94.05
8042,"Dezembro",41.36
8058,"Janeiro",21.21
8058,"Fevereiro",62.81
8058,"Março",32.46
8058,"Abril",55.13
8058,"Maio",11.43
8058,"Junho",46.74
8058,"Julho",22.49
8058,"Agosto",29.39
8058,"Setembro",10.23
8058,"Outubro",69.94
8058,"Novembro",88.29
8058,"Dezembro",0.85
5379,"Janeiro",35.34
5379,"Fevereiro",66.91
5379,"Março",37.8
5379,"Abril",71.76
5379,"Maio",56.1
5379,"Junho",14.64
5379,"Julho",23.42
5379,"Agosto",3.67
5379,"Setembro",88.82
5379,"Outubro",26.72
5379,"Novembro",43.14
5379,"Dezembro",88.5
4071,"Janeiro",18.07
4071,"Fevereiro",20.88
4071,"Março",46.91
4071,"Abril",47.95
4071,"Maio",63.6
4071,"Junho",27.47
4071,"Julho",5.59
4071,"Agosto",79.19
4071,"Setembro",78.4
4071,"Outubro",51.1
4071,"Novembro",76.96
4071,"Dezembro",43.49
5596,"Janeiro",23.29
5596,"Fevereiro",12.92
5596,"Março",18.86
5596,"Abril",86.33
5596,"Maio",67.69
5596,"Junho",61.52
5596,"Julho",92.97
5596,"Agosto",90.02
5596,"Setembro",99.92
5596,"Outubro",77.17
5596,"Novembro",71
5596,"Dezembro",80.36
9561,"Janeiro",77.06
9561,"Fevereiro",84.97
9561,"Março",68.99
9561,"Abril",25.9
9561,"Maio",66.42
9561,"Junho",8.65
9561,"Julho",78.41
9561,"Agosto",98.39
9561,"Setembro",42.08
9561,"Outubro",83.84
9561,"Novembro",36.92
9561,"Dezembro",96.12
6983,"Janeiro",0.89
6983,"Fevereiro",76.21
6983,"Março",82.31
6983,"Abril",38.46
6983,"Maio",2.84
6983,"Junho",28.28
6983,"Julho",28.38
6983,"Agosto",78.85
6983,"Setembro",79.58
6983,"Outubro",50.78
6983,"Novembro",83.59
6983,"Dezembro",63.48
5715,"Janeiro",37.33
5715,"Fevereiro",54.62
5715,"Março",83.78
5715,"Abril",17.38
5715,"Maio",43.21
5715,"Junho",93.83
5715,"Julho",5.34
5715,"Agosto",37.85
5715,"Setembro",29.13
5715,"Outubro",37.25
5715,"Novembro",90.57
5715,"Dezembro",48.95
7262,"Janeiro",68.33
7262,"Fevereiro",41.12
7262,"Março",22.97
7262,"Abril",99.23
7262,"Maio",83.48
7262,"Junho",25.89
7262,"Julho",38.63
7262,"Agosto",8.25
7262,"Setembro",73.26
7262,"Outubro",29.43
7262,"Novembro",72.3
7262,"Dezembro",49.27
1944,"Janeiro",35.19
1944,"Fevereiro",67.66
1944,"Março",29.85
1944,"Abril",58.42
1944,"Maio",22.46
1944,"Junho",78.23
1944,"Julho",40.58
1944,"Agosto",2.88
1944,"Setembro",47.39
1944,"Outubro",78.47
1944,"Novembro",96.66
1944,"Dezembro",42.59
9709,"Janeiro",57.79
9709,"Fevereiro",45.98
9709,"Março",28.48
9709,"Abril",66.97
9709,"Maio",2.47
9709,"Junho",93
9709,"Julho",3.8
9709,"Agosto",5.45
9709,"Setembro",95.7
9709,"Outubro",18.05
9709,"Novembro",60.22
9709,"Dezembro",54.05
2051,"Janeiro",64.6
2051,"Fevereiro",2.29
2051,"Março",9.06
2051,"Abril",61.01
2051,"Maio",64.73
2051,"Junho",34.03
2051,"Julho",7.83
2051,"Agosto",35.73
2051,"Setembro",73.18
2051,"Outubro",82.31
2051,"Novembro",62.64
2051,"Dezembro",47.93
9896,"Janeiro",68.84
9896,"Fevereiro",18.31
9896,"Março",73.41
9896,"Abril",85.15
9896,"Maio",52.76
9896,"Junho",58.81
9896,"Julho",11.53
9896,"Agosto",78.95
9896,"Setembro",81.03
9896,"Outubro",82.74
9896,"Novembro",58.06
9896,"Dezembro",30.71
6412,"Janeiro",96.62
6412,"Fevereiro",37.18
6412,"Março",87.39
6412,"Abril",44.26
6412,"Maio",29.33
6412,"Junho",33.29
6412,"Julho",90.47
6412,"Agosto",66.6
6412,"Setembro",42.73
6412,"Outubro",0.07
6412,"Novembro",1.22
6412,"Dezembro",32.66
5052,"Janeiro",1.11
5052,"Fevereiro",72.33
5052,"Março",71.17
5052,"Abril",27.42
5052,"Maio",28.89
5052,"Junho",5.55
5052,"Julho",32.7
5052,"Agosto",77.25
5052,"Setembro",84.49
5052,"Outubro",34.76
5052,"Novembro",52.76
5052,"Dezembro",31.82
2301,"Janeiro",96.48
2301,"Fevereiro",97.12
2301,"Março",11.78
2301,"Abril",76.92
2301,"Maio",38.15
2301,"Junho",46.08
2301,"Julho",57.99
2301,"Agosto",91.61
2301,"Setembro",16.1
2301,"Outubro",40.59
2301,"Novembro",5.83
2301,"Dezembro",12.13
8591,"Janeiro",85.35
