"NUM_CLIENTE","MES_FAT","VALOR_FATURAMENTO"
8656,"Maio",624.3
8656,"Junho",6.44
8656,"Julho",197.2
8656,"Agosto",8.89
8656,"Setembro",553.84
8656,"Outubro",1104.91
8656,"Novembro",56.51
8656,"Dezembro",1299.64
4421,"Janeiro",1000.57
4421,"Fevereiro",887.73
4421,"Março",487.56
4421,"Abril",627.95
4421,"Maio",383.07
4421,"Junho",61.8
4421,"Julho",188.33
4421,"Agosto",656.78
4421,"Setembro",665.3
4421,"Outubro",938.23
4421,"Novembro",187.87
4421,"Dezembro",727.41
8611,"Janeiro",608.73
8611,"Fevereiro",421.9
8611,"Março",647
8611,"Abril",488.24
8611,"Maio",484.43
8611,"Junho",281.3
8611,"Julho",101.78
8611,"Agosto",868.25
8611,"Setembro",421.31
8611,"Outubro",399.97
8611,"Novembro",1266.54
8611,"Dezembro",709.08
3901,"Janeiro",1337.63
3901,"Fevereiro",889.53
3901,"Março",1180.9
3901,"Abril",624.69
3901,"Maio",580.73
3901,"Junho",493.3
3901,"Julho",681.28
3901,"Agosto",168.25
3901,"Setembro",122.78
3901,"Outubro",108.84
3901,"Novembro",30.5
3901,"Dezembro",896.33
3202,"Janeiro",1068.69
3202,"Fevereiro",124.95
3202,"Março",459.91
3202,"Abril",315.48
3202,"Maio",500.32
3202,"Junho",629.21
3202,"Julho",733.94
3202,"Agosto",110.4
3202,"Setembro",333.59
3202,"Outubro",259.75
3202,"Novembro",514.62
3202,"Dezembro",121.31
3652,"Janeiro",1124.74
3652,"Fevereiro",181.23
3652,"Março",358.29
3652,"Abril",598.81
3652,"Maio",883.95
3652,"Junho",32.51
3652,"Julho",561.17
3652,"Agosto",1055.03
3652,"Setembro",0.75
3652,"Outubro",263.04
3652,"Novembro",788.26
3652,"Dezembro",893.99
4021,"Janeiro",1110.93
4021,"Fevereiro",1187.56
4021,"Março",646.76
4021,"Abril",1121.62
4021,"Maio",485.2
4021,"Junho",356.16
4021,"Julho",32.54
4021,"Agosto",41.44
4021,"Setembro",500.75
4021,"Outubro",543.52
4021,"Novembro",967.7
4021,"Dezembro",1230
2617,"Janeiro",712.46
2617,"Fevereiro",834.12
2617,"Março",804.01
2617,"Abril",507.89
2617,"Maio",749.41
2617,"Junho",859.47
2617,"Julho",527.13
2617,"Agosto",129.41
2617,"Setembro",738.75
2617,"Outubro",199.12
2617,"Novembro",657.78
2617,"Dezembro",190.34
9427,"Janeiro",228.31
9427,"Fevereiro",480.05
9427,"Março",146.97
9427,"Abril",624.07
9427,"Maio",653.45
9427,"Junho",851.95
9427,"Julho",876.39
9427,"Agosto",1094.03
9427,"Setembro",301.37
9427,"Outubro",1015.75
9427,"Novembro",223.43
9427,"Dezembro",440.1
6028,"Janeiro",163.83
6028,"Fevereiro",162.22
6028,"Março",1185.78
6028,"Abril",548.57
6028,"Maio",1424.37
6028,"Junho",909.45
6028,"Julho",443.92
6028,"Agosto",54.12
6028,"Setembro",1200.17
6028,"Outubro",16.34
6028,"Novembro",202.37
6028,"Dezembro",55.53
2331,"Janeiro",1196.65
2331,"Fevereiro",143.47
2331,"Março",887.34
2331,"Abril",96.13
2331,"Maio",132.93
2331,"Junho",477.99
2331,"Julho",1000.89
2331,"Agosto",478.08
2331,"Setembro",220.32
2331,"Outubro",1277.8
2331,"Novembro",39.52
2331,"Dezembro",642.97
8319,"Janeiro",788.46
8319,"Fevereiro",1055.27
8319,"Março",424.12
8319,"Abril",747.76
8319,"Maio",641.31
8319,"Junho",77.37
8319,"Julho",637.2
8319,"Agosto",61.04
8319,"Setembro",843.99
8319,"Outubro",295.08
8319,"Novembro",174.3
8319,"Dezembro",979.47
4223,"Janeiro",401.96
4223,"Fevereiro",303.39
4223,"Março",442.8
4223,"Abril",1478.57
4223,"Maio",1136.28
4223,"Junho",773.27
4223,"Julho",395.07
4223,"Agosto",186.64
4223,"Setembro",736.25
4223,"Outubro",774.24
4223,"Novembro",438.75
4223,"Dezembro",428.81
3339,"Janeiro",442.39
3339,"Fevereiro",320.88
3339,"Março",103.8
3339,"Abril",883.92
3339,"Maio",890.38
3339,"Junho",601.34
3339,"Julho",194.61
3339,"Agosto",1489.71
3339,"Setembro",422.46
3339,"Outubro",1045.35
3339,"Novembro",11.26
3339,"Dezembro",1016.62
7966,"Janeiro",1119.31
7966,"Fevereiro",151.36
7966,"Março",489.92
7966,"Abril",256.98
7966,"Maio",95.3
7966,"Junho",176.24
7966,"Julho",617
7966,"Agosto",595.97
7966,"Setembro",90.89
7966,"Outubro",288.63
7966,"Novembro",105.72
7966,"Dezembro",766.73
8531,"Janeiro",830.72
8531,"Fevereiro",756.16
8531,"Março",46.46
8531,"Abril",67.51
8531,"Maio",2.43
8531,"Junho",951.01
8531,"Julho",841.94
8531,"Agosto",480.44
8531,"Setembro",438.86
8531,"Outubro",948.92
8531,"Novembro",1190.57
8531,"Dezembro",160.81
876,"Janeiro",842.5
876,"Fevereiro",210.22
876,"Março",660.56
876,"Abril",128.07
876,"Maio",178.97
876,"Junho",560.93
876,"Julho",874.84
876,"Agosto",232.04
876,"Setembro",1306.84
876,"Outubro",658.97
876,"Novembro",393.42
876,"Dezembro",822.89
1253,"Janeiro",863.91
1253,"Fevereiro",781.62
1253,"Março",74.21
1253,"Abril",723.25
1253,"Maio",1062.2
1253,"Junho",896.03
1253,"Julho",239.1
1253,"Agosto",293.74
1253,"Setembro",564.35
1253,"Outubro",679.93
1253,"Novembro",757.86
1253,"Dezembro",413.5
9122,"Janeiro",738.69
9122,"Fevereiro",912.12
9122,"Março",36.96
9122,"Abril",526.7
9122,"Maio",490.24
9122,"Junho",941.56
9122,"Julho",671.21
9122,"Agosto",217.84
9122,"Setembro",160.48
9122,"Outubro",815.31
9122,"Novembro",353.93
9122,"Dezembro",728.7
7741,"Janeiro",634.49
7741,"Fevereiro",937.8
7741,"Março",412.59
7741,"Abril",861.05
7741,"Maio",270.96
7741,"Junho",1136.87
7741,"Julho",1455.86
7741,"Agosto",670.6
7741,"Setembro",703.93
7741,"Outubro",1185.12
7741,"Novembro",315.48
7741,"Dezembro",443.92
8625,"Janeiro",457.74
8625,"Fevereiro",550.13
8625,"Março",956.32
8625,"Abril",280.65
8625,"Maio",234.85
8625,"Junho",213.1
8625,"Julho",701.92
8625,"Agosto",1183.96
8625,"Setembro",834.95
8625,"Outubro",938.83
8625,"Novembro",78.64
8625,"Dezembro",1210.61
2882,"Janeiro",863.91
2882,"Fevereiro",83.64
2882,"Março",1277.22
2882,"Abril",719.58
2882,"Maio",880.88
2882,"Junho",762.85
2882,"Julho",971.86
2882,"Agosto",728.64
2882,"Setembro",1115.17
2882,"Outubro",854.1
2882,"Novembro",991.73
2882,"Dezembro",1069.45
3858,"Janeiro",189.26
3858,"Fevereiro",662.79
3858,"Março",1102.48
3858,"Abril",599.25
3858,"Maio",873.4
3858,"Junho",263.36
3858,"Julho",36.92
3858,"Agosto",990.24
3858,"Setembro",475.32
3858,"Outubro",173.68
3858,"Novembro",737.53
3858,"Dezembro",675.05
7555,"Janeiro",934.84
7555,"Fevereiro",711.31
7555,"Março",406.78
7555,"Abril",396.26
7555,"Maio",976.62
7555,"Junho",730.9
7555,"Julho",260.04
7555,"Agosto",437.13
7555,"Setembro",853.72
7555,"Outubro",1185.52
7555,"Novembro",133.95
7555,"Dezembro",887.23
4232,"Janeiro",315.27
4232,"Fevereiro",568.7
4232,"Março",612.96
4232,"Abril",449.92
4232,"Maio",246.23
4232,"Junho",393.67
4232,"Julho",1155.58
4232,"Agosto",787.41
4232,"Setembro",1021.38
4232,"Outubro",612.7
4232,"Novembro",760.4
4232,"Dezembro",535.87
9931,"Janeiro",470.49
9931,"Fevereiro",790.16
9931,"Março",185.2
9931,"Abril",229.66
9931,"Maio",362.29
9931,"Junho",235.27
9931,"Julho",827.74
9931,"Agosto",111.91
9931,"Setembro",805.5
9931,"Outubro",1146.01
9931,"Novembro",1142.31
9931,"Dezembro",615.23
4600,"Janeiro",453.02
4600,"Fevereiro",787.84
4600,"Março",427.1
4600,"Abril",1104
4600,"Maio",1375.11
4600,"Junho",38.46
4600,"Julho",1078.7
4600,"Agosto",840.77
4600,"Setembro",471.67
4600,"Outubro",63.67
4600,"Novembro",482.14
4600,"Dezembro",594.73
6945,"Janeiro",714.18
6945,"Fevereiro",633.61
6945,"Março",978.22
6945,"Abril",63.24
6945,"Maio",845.59
6945,"Junho",17.93
6945,"Julho",737.42
6945,"Agosto",440.55
6945,"Setembro",971.74
6945,"Outubro",830.68
6945,"Novembro",997.93
6945,"Dezembro",479.78
6053,"Janeiro",578.23
6053,"Fevereiro",534.19
6053,"Março",337.99
6053,"Abril",955.59
6053,"Maio",183.47
6053,"Junho",769.65
6053,"Julho",988.11
6053,"Agosto",847.02
6053,"Setembro",715.88
6053,"Outubro",1007.7
6053,"Novembro",14.26
6053,"Dezembro",224.61
7850,"Janeiro",435.22
7850,"Fevereiro",425.64
7850,"Março",418.86
7850,"Abril",1194.53
7850,"Maio",519.51
7850,"Junho",264.6
7850,"Julho",305.58
7850,"Agosto",398.58
7850,"Setembro",573.84
7850,"Outubro",514.81
7850,"Novembro",515.97
7850,"Dezembro",135.09
3252,"Janeiro",589.14
3252,"Fevereiro",232.81
3252,"Março",160.37
3252,"Abril",1011.14
3252,"Maio",23.7
3252,"Junho",25.49
3252,"Julho",349.11
3252,"Agosto",825.51
3252,"Setembro",243.15
3252,"Outubro",1168.74
3252,"Novembro",318.3
3252,"Dezembro",289.32
489,"Janeiro",517.07
489,"Fevereiro",1014.84
489,"Março",962.58
489,"Abril",460.18
489,"Maio",82.71
489,"Junho",732.19
489,"Julho",1033.72
489,"Agosto",639.12
489,"Setembro",491.83
489,"Outubro",626.84
489,"Novembro",259.2
489,"Dezembro",1027.82
6491,"Janeiro",86.49
6491,"Fevereiro",968.5
6491,"Março",759.28
6491,"Abril",712.06
6491,"Maio",68.3
6491,"Junho",1286.46
6491,"Julho",699.14
6491,"Agosto",524.69
6491,"Setembro",111.08
6491,"Outubro",225.16
6491,"Novembro",1132.01
6491,"Dezembro",179.66
432,"Janeiro",2.32
432,"Fevereiro",1189.7
432,"Março",1345.35
432,"Abril",682.88
432,"Maio",875.42
432,"Junho",869.42
432,"Julho",193.38
432,"Agosto",103.09
432,"Setembro",652.02
432,"Outubro",950.14
432,"Novembro",218.44
432,"Dezembro",1156.86
6272,"Janeiro",601.06
6272,"Fevereiro",160.78
6272,"Março",262.59
6272,"Abril",206.51
6272,"Maio",261
6272,"Junho",635.82
6272,"Julho",281.27
6272,"Agosto",1094.03
6272,"Setembro",739.79
6272,"Outubro",580.42
6272,"Novembro",262.39
6272,"Dezembro",73.61
9979,"Janeiro",780.57
9979,"Fevereiro",922.68
9979,"Março",534.87
9979,"Abril",92.13
9979,"Maio",1171.86
9979,"Junho",935.01
9979,"Julho",728.93
9979,"Agosto",330.08
9979,"Setembro",472.97
9979,"Outubro",87.65
9979,"Novembro",98.16
9979,"Dezembro",517.44
3547,"Janeiro",719.07
3547,"Fevereiro",606.68
3547,"Março",360.78
3547,"Abril",512.04
3547,"Maio",667.78
3547,"Junho",1111.04
3547,"Julho",510.49
3547,"Agosto",102.88
3547,"Setembro",660.79
3547,"Outubro",1154.87
3547,"Novembro",848.13
3547,"Dezembro",1085.67
5339,"Janeiro",723.69
5339,"Fevereiro",646.79
5339,"Março",68.07
5339,"Abril",275.04
5339,"Maio",169.18
5339,"Junho",1182.49
5339,"Julho",412.06
5339,"Agosto",791.03
5339,"Setembro",364.64
5339,"Outubro",667.47
5339,"Novembro",189.57
5339,"Dezembro",1000.7
2386,"Janeiro",656.62
2386,"Fevereiro",30.07
2386,"Março",160.69
2386,"Abril",770.87
2386,"Maio",609.24
2386,"Junho",610.37
2386,"Julho",899.47
2386,"Agosto",128.03
2386,"Setembro",648.52
2386,"Outubro",564.48
2386,"Novembro",1144.15
2386,"Dezembro",304.8
1780,"Janeiro",172.14
1780,"Fevereiro",385.59
1780,"Março",826.83
1780,"Abril",376.67
1780,"Maio",988.76
1780,"Junho",839.44
1780,"Julho",682.25
1780,"Agosto",1324.99
1780,"Setembro",896.06
1780,"Outubro",605.07
1780,"Novembro",214.46
1780,"Dezembro",141.24
5466,"Janeiro",423.46
5466,"Fevereiro",307.96
5466,"Março",785.77
5466,"Abril",43.41
5466,"Maio",146.77
5466,"Junho",566.25
5466,"Julho",414.96
5466,"Agosto",592.71
5466,"Setembro",472.97
5466,"Outubro",245.32
5466,"Novembro",886.71
5466,"Dezembro",471.73
864,"Janeiro",1443.06
864,"Fevereiro",970.19
864,"Março",608.32
864,"Abril",234.52
864,"Maio",1228.66
864,"Junho",11.53
864,"Julho",1050.43
864,"Agosto",764.52
864,"Setembro",533.79
864,"Outubro",888.23
864,"Novembro",1076.63
864,"Dezembro",998.23
3217,"Janeiro",553.58
3217,"Fevereiro",964.22
3217,"Março",500
3217,"Abril",81.67
3217,"Maio",382.42
3217,"Junho",1274.55
3217,"Julho",1116.73
3217,"Agosto",729.17
3217,"Setembro",975.62
3217,"Outubro",758.86
3217,"Novembro",253.68
3217,"Dezembro",1183.06
8693,"Janeiro",38.84
8693,"Fevereiro",813.8
8693,"Março",257.64
8693,"Abril",920.51
8693,"Maio",888.51
8693,"Junho",1299.68
8693,"Julho",645.82
8693,"Agosto",170.05
8693,"Setembro",799.17
8693,"Outubro",305.27
8693,"Novembro",730.28
8693,"Dezembro",39.64
8045,"Janeiro",185.08
8045,"Fevereiro",880.01
8045,"Março",660.24
8045,"Abril",323.87
8045,"Maio",948.39
8045,"Junho",527.47
8045,"Julho",462.82
8045,"Agosto",1008.83
8045,"Setembro",220.73
8045,"Outubro",455.58
8045,"Novembro",798.45
8045,"Dezembro",159.65
6570,"Janeiro",480.5
6570,"Fevereiro",1136.21
6570,"Março",563.27
6570,"Abril",80.65
6570,"Maio",715.7
6570,"Junho",633.62
6570,"Julho",446.2
6570,"Agosto",17.83
6570,"Setembro",141.31
6570,"Outubro",1169.32
6570,"Novembro",713.31
6570,"Dezembro",571.49
6823,"Janeiro",535.12
6823,"Fevereiro",188.2
6823,"Março",273.65
6823,"Abril",518.17
6823,"Maio",423.9
6823,"Junho",701.43
6823,"Julho",168.72
6823,"Agosto",1237.72
6823,"Setembro",267.61
6823,"Outubro",1332.64
6823,"Novembro",1033.94
6823,"Dezembro",476.22
7369,"Janeiro",907.72
7369,"Fevereiro",294.4
7369,"Março",754.87
7369,"Abril",737.83
7369,"Maio",900.23
7369,"Junho",454.79
7369,"Julho",926.14
7369,"Agosto",522.92
7369,"Setembro",625.33
7369,"Outubro",1066.68
7369,"Novembro",1138.23
7369,"Dezembro",420.29
984,"Janeiro",515.39
984,"Fevereiro",175.52
984,"Março",279.02
984,"Abril",217.29
984,"Maio",90.33
984,"Junho",210.92
984,"Julho",28.77
984,"Agosto",115.65
984,"Setembro",1475.49
984,"Outubro",924.91
984,"Novembro",1077.2
984,"Dezembro",1069.41
1822,"Janeiro",863.13
1822,"Fevereiro",457.46
1822,"Março",1200.7
1822,"Abril",294.36
1822,"Maio",1322.44
1822,"Junho",1049.21
1822,"Julho",147.64
1822,"Agosto",1074.36
1822,"Setembro",768.97
1822,"Outubro",521.79
1822,"Novembro",64.81
1822,"Dezembro",126.79
3328,"Janeiro",11.57
3328,"Fevereiro",211.75
3328,"Março",348.97
3328,"Abril",179.48
3328,"Maio",133.39
3328,"Junho",403.31
3328,"Julho",451.46
3328,"Agosto",1219.15
3328,"Setembro",78.62
3328,"Outubro",28.74
3328,"Novembro",454.03
3328,"Dezembro",857.54
102,"Janeiro",353.28
102,"Fevereiro",588.81
102,"Março",360.54
102,"Abril",283.74
102,"Maio",445.07
102,"Junho",1341.45
102,"Julho",271.62
102,"Agosto",628.89
102,"Setembro",326.43
102,"Outubro",299.37
102,"Novembro",595.87
102,"Dezembro",101.49
8042,"Janeiro",37.17
8042,"Fevereiro",483.76
8042,"Março",1110.1
8042,"Abril",322.5
8042,"Maio",79.63
8042,"Junho",618.07
8042,"Julho",1036.66
8042,"Agosto",348.86
8042,"Setembro",796.64
8042,"Outubro",441
8042,"Novembro",1352.36
8042,"Dezembro",502.38
8058,"Janeiro",276.36
8058,"Fevereiro",689.35
8058,"Março",298.06
8058,"Abril",784.81
8058,"Maio",125.16
8058,"Junho",622.11
8058,"Julho",307.57
8058,"Agosto",397.48
8058,"Setembro",149.14
8058,"Outubro",944.98
8058,"Novembro",794.21
8058,"Dezembro",9.3
5379,"Janeiro",430.07
5379,"Fevereiro",770.6
5379,"Março",517.78
5379,"Abril",644.85
5379,"Maio",812.79
5379,"Junho",197.53
5379,"Julho",323.19
5379,"Agosto",55.07
5379,"Setembro",827.11
5379,"Outubro",260.29
5379,"Novembro",338.21
5379,"Dezembro",848.98
4071,"Janeiro",179.36
4071,"Fevereiro",261.21
4071,"Março",470.18
4071,"Abril",612.26
4071,"Maio",906.91
4071,"Junho",341.11
4071,"Julho",59.42
4071,"Agosto",623.28
4071,"Setembro",1004.3
4071,"Outubro",563.91
4071,"Novembro",1105.75
4071,"Dezembro",406.44
5596,"Janeiro",228.26
5596,"Fevereiro",181.98
5596,"Março",186.68
5596,"Abril",835.5
5596,"Maio",1001.05
5596,"Junho",511.34
5596,"Julho",847.4
5596,"Agosto",742.06
5596,"Setembro",857.98
5596,"Outubro",742.02
5596,"Novembro",1007.03
5596,"Dezembro",1034.7
9561,"Janeiro",1122.98
9561,"Fevereiro",1059.48
9561,"Março",1071.55
9561,"Abril",267.77
9561,"Maio",518.96
9561,"Junho",80.64
9561,"Julho",744.47
9561,"Agosto",1225.53
9561,"Setembro",641.94
9561,"Outubro",1140.89
9561,"Novembro",320.85
9561,"Dezembro",818.77
6983,"Janeiro",12.81
6983,"Fevereiro",636.87
6983,"Março",873.26
6983,"Abril",519.72
6983,"Maio",35.65
6983,"Junho",228.87
6983,"Julho",233.89
6983,"Agosto",1117.89
6983,"Setembro",773.41
6983,"Outubro",447.85
6983,"Novembro",983.13
6983,"Dezembro",578.14
5715,"Janeiro",348.73
5715,"Fevereiro",704.13
5715,"Março",711.53
5715,"Abril",256.53
5715,"Maio",409.4
5715,"Junho",819.54
5715,"Julho",64.13
5715,"Agosto",390.45
5715,"Setembro",242.62
5715,"Outubro",526.84
5715,"Novembro",777.59
5715,"Dezembro",698.51
7262,"Janeiro",546.78
7262,"Fevereiro",462.8
7262,"Março",296.39
7262,"Abril",1015.65
7262,"Maio",1228.17
7262,"Junho",330.08
7262,"Julho",550.52
7262,"Agosto",119.34
7262,"Setembro",1064.4
7262,"Outubro",257.18
7262,"Novembro",810.95
7262,"Dezembro",441.35
1944,"Janeiro",538.7
1944,"Fevereiro",960.92
1944,"Março",243.86
1944,"Abril",512.85
1944,"Maio",231.81
1944,"Junho",1195.32
1944,"Julho",422.21
1944,"Agosto",34.3
1944,"Setembro",624.35
1944,"Outubro",1187.67
1944,"Novembro",875.68
1944,"Dezembro",413.14
9709,"Janeiro",805.44
9709,"Fevereiro",676.61
9709,"Março",346.55
9709,"Abril",989.19
9709,"Maio",25.86
9709,"Junho",960.37
9709,"Julho",42.59
9709,"Agosto",65.25
9709,"Setembro",879.85
9709,"Outubro",230.75
9709,"Novembro",730.36
9709,"Dezembro",826.26
2051,"Janeiro",548.54
2051,"Fevereiro",34.78
2051,"Março",95.54
2051,"Abril",731.64
2051,"Maio",724.23
2051,"Junho",426.31
2051,"Julho",91.62
2051,"Agosto",377.41
2051,"Setembro",1022.24
2051,"Outubro",1200.27
2051,"Novembro",707.58
2051,"Dezembro",570.82
9896,"Janeiro",946.85
9896,"Fevereiro",215.33
9896,"Março",1014.25
9896,"Abril",793.29
9896,"Maio",424.45
9896,"Junho",562.07
9896,"Julho",128.13
9896,"Agosto",773.58
9896,"Setembro",842.22
9896,"Outubro",1092.84
9896,"Novembro",637.96
9896,"Dezembro",450.57
6412,"Janeiro",1427.9
6412,"Fevereiro",360.19
6412,"Março",1174.27
6412,"Abril",634.38
6412,"Maio",449.79
6412,"Junho",485.33
6412,"Julho",1098.95
6412,"Agosto",917
6412,"Setembro",387.91
6412,"Outubro",0.78
6412,"Novembro",17.77
6412,"Dezembro",457.77
5052,"Janeiro",9.32
5052,"Fevereiro",1043
5052,"Março",1018.91
5052,"Abril",386.56
5052,"Maio",248.68
5052,"Junho",51.17
5052,"Julho",350.43
5052,"Agosto",870.71
5052,"Setembro",826.06
5052,"Outubro",351.92
5052,"Novembro",430.72
5052,"Dezembro",398.05
2301,"Janeiro",1268.47
2301,"Fevereiro",1387.56
